S,NCTId,eudraCT,study_completion_year,title,acronym,has_results_or_publications_within_1y,has_results_or_publications_within_3y
🟥,NCT02712086,,2023,Randomized Controlled Trial Prospective Single-center Open Evaluating the Efficacy of Supplementation (Adapted to the Post-operative Period) Current Protein After Bariatric Surgery Like Sleeve Gastrectomy,PROTISLEEVE,False,False
🟥,NCT02790346,,2023,Interest of Talonavicular Arthrodesis on Walking Speed at Brain Lesion Patients Who Benefit of a Surgical Treatment of Ankle and Varus Foot : Randomized Study,talobot,False,False
🟥,NCT05727774,,2023,Effect of Hot Versus Neutral Water for Heat Acclimatation and Sport Performance During a Water Biking Training Protocol : Controlled Randomised Study,THERMIDOR,False,False
🟥,NCT04159220,,2023,Randomized Controlled Trial to Evaluate an Optimization Procedure of Alveolar Recruitment During Transport Performed by Nurse Anesthetists in Intensive Care,ESCORTE,False,False
🟥,NCT03999320,,2023,Impact of Sophrology on Exercise Capacity of Adolescents and Young Adults With Congenital Heart Disease : Multicenter Randomized Controlled Trial,SOPHRO CARE,False,False
🟥,NCT04452747,,2023,Artificial Induction of Labour in Full-term Singleton Pregnancy : Comparative Randomized Clinical Trial of Two Strategies (DINO-FIRST Versus BALLON-FIRST),BESTWAY,False,False
🟥,NCT03597555,,2023,"A Randomized, Double-blind, Placebo-controlled Trial Comparing the Efficacy and Tolerance of Sodium Oxybate in Patients Affected With Idiopathic Hypersomnia",SODHI,False,False
🟥,NCT05232344,,2024,Sexual Intercourse and Vaginal Absorption of Progesterone : Cross-over Prospective Study,SexVAP,False,False
🟥,NCT04356599,,2024,Prediction and Unraveling of Delayed Cerebral Ischemia in Patients With Subarachnoid Hemorrhage Using Early Dynamic 18F-FDG PET/CT Assessment of Cerebral Glucose Uptake (PREDISP),PREDISP,False,False
🟥,NCT03838562,,2024,Non-inferiority of Virtual Reality Compared to Other Forms of Optokinetic Stimulation in the Rehabilitation of Vestibular Syndromes. Randomized Controlled Trial.,EquiRV,False,False
🟥,NCT02495090,,2024,Hypospadias and Exome: Identification of New Genes for Familial Hypospadias,,False,False
🟥,NCT04604847,,2024,Postoperative Painful Chronicization After Knee Replacement Surgery : Exploratory Study of BDNF's Kinetics,KNEE BDNF,False,False
🟥,NCT05805670,,2024,"Feasibility of Implementing Yoga and Meditation in the Preoperative Period of Pediatric Idiopathic Scoliosis Surgery, an Exploratory Study",YOMEPOP,False,False
🟥,NCT05049928,,2024,"m-Rehab OSA : Impact of a Telerehabilitation Program Associated With CPAP on Severity Markers of Obstructive Sleep Apnea Syndrome. Prospective, Randomized, Controlled, Multicenter Study",mRehabOSA,False,False
🟥,NCT04347603,,2024,Sedation or General Anesthesia During Trancatheter Aortic Valve Implantation Procedure : ANESTAVI Study,ANESTAVI,False,False
